+----------------------------------+--------------------------------------+----------+--------------------------------+--------------------------------+------------------------------------------+
|              LABEL               |                 UID                  | ENABLED  |          DESCRIPTION           |           CONDITION            |         ALLOWED RESOURCE ACTIONS         |
+----------------------------------+--------------------------------------+----------+--------------------------------+--------------------------------+------------------------------------------+
| Viewer                           | b1e2218d-eef8-4d4c-b82d-0f1a1b48f3b5 | enabled  | View and download.             | exists @Resource.File          | libre.graph/driveItem/path/read          |
|                                  |                                      |          |                                | exists @Resource.Folder        | libre.graph/driveItem/quota/read         |
|                                  |                                      |          |                                | exists @Resource.File &&       | libre.graph/driveItem/content/read       |
|                                  |                                      |          |                                | @Subject.UserType=="Federated" | libre.graph/driveItem/children/read      |
|                                  |                                      |          |                                | exists @Resource.Folder &&     | libre.graph/driveItem/deleted/read       |
|                                  |                                      |          |                                | @Subject.UserType=="Federated" | libre.graph/driveItem/basic/read         |
+----------------------------------+--------------------------------------+----------+--------------------------------+--------------------------------+------------------------------------------+
| ViewerListGrants                 | d5041006-ebb3-4b4a-b6a4-7c180ecfb17d | disabled | View, download and show all    | exists @Resource.File          | libre.graph/driveItem/path/read          |
|                                  |                                      |          | invited people.                | exists @Resource.Folder        | libre.graph/driveItem/quota/read         |
|                                  |                                      |          |                                | exists @Resource.File &&       | libre.graph/driveItem/content/read       |
|                                  |                                      |          |                                | @Subject.UserType=="Federated" | libre.graph/driveItem/permissions/read   |
|                                  |                                      |          |                                | exists @Resource.Folder &&     | libre.graph/driveItem/children/read      |
|                                  |                                      |          |                                | @Subject.UserType=="Federated" | libre.graph/driveItem/deleted/read       |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/basic/read         |
+----------------------------------+--------------------------------------+----------+--------------------------------+--------------------------------+------------------------------------------+
| SpaceViewer                      | a8d5fe5e-96e3-418d-825b-534dbdf22b99 | enabled  | View and download.             | exists @Resource.Root          | libre.graph/driveItem/path/read          |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/quota/read         |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/content/read       |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/permissions/read   |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/children/read      |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/deleted/read       |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/basic/read         |
+----------------------------------+--------------------------------------+----------+--------------------------------+--------------------------------+------------------------------------------+
| Editor                           | fb6c3e19-e378-47e5-b277-9732f9de6e21 | enabled  | View, download, upload, edit,  | exists @Resource.Folder        | libre.graph/driveItem/children/create    |
|                                  |                                      |          | add and delete.                | exists @Resource.Folder &&     | libre.graph/driveItem/standard/delete    |
|                                  |                                      |          |                                | @Subject.UserType=="Federated" | libre.graph/driveItem/path/read          |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/quota/read         |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/content/read       |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/upload/create      |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/children/read      |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/deleted/read       |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/path/update        |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/deleted/update     |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/basic/read         |
+----------------------------------+--------------------------------------+----------+--------------------------------+--------------------------------+------------------------------------------+
| EditorListGrants                 | e8ea8b21-abd4-45d2-b893-8d1546378e9e | disabled | View, download, upload, edit,  | exists @Resource.Folder        | libre.graph/driveItem/children/create    |
|                                  |                                      |          | add, delete and show all       | exists @Resource.Folder &&     | libre.graph/driveItem/standard/delete    |
|                                  |                                      |          | invited people.                | @Subject.UserType=="Federated" | libre.graph/driveItem/path/read          |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/quota/read         |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/content/read       |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/upload/create      |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/permissions/read   |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/children/read      |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/deleted/read       |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/path/update        |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/deleted/update     |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/basic/read         |
+----------------------------------+--------------------------------------+----------+--------------------------------+--------------------------------+------------------------------------------+
| EditorListGrantsWithVersions     | 0911d62b-1e3f-4778-8b1b-903b7e4e8476 | disabled | View, download, upload, edit,  | exists @Resource.Folder        | libre.graph/driveItem/children/create    |
|                                  |                                      |          | delete and show all invited    | exists @Resource.Folder &&     | libre.graph/driveItem/standard/delete    |
|                                  |                                      |          | people, show all versions.     | @Subject.UserType=="Federated" | libre.graph/driveItem/path/read          |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/quota/read         |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/content/read       |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/upload/create      |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/permissions/read   |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/children/read      |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/versions/read      |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/deleted/read       |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/path/update        |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/deleted/update     |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/basic/read         |
+----------------------------------+--------------------------------------+----------+--------------------------------+--------------------------------+------------------------------------------+
| SpaceEditor                      | 58c63c02-1d89-4572-916a-870abc5a1b7d | enabled  | View, download, upload, edit,  | exists @Resource.Root          | libre.graph/driveItem/children/create    |
|                                  |                                      |          | add, delete including the      |                                | libre.graph/driveItem/standard/delete    |
|                                  |                                      |          | history.                       |                                | libre.graph/driveItem/path/read          |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/quota/read         |
|                                  |                                      |          |                                |                                | libre.graph/driveItem/content/read       |
